rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.048143736521403,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.260225045681,6.617750016,1.5160834789276123,4.554353000077306
64,128,14745600,4.055782453219096,7.998511616,1.4768110513687134,4.378959115873907
